loss,accuracy,val_loss,val_accuracy
1.0742716789245605,0.6983000040054321,0.686404824256897,0.7940000295639038
0.17994463443756104,0.9510999917984009,0.2393309623003006,0.9419999718666077
0.12648284435272217,0.9627000093460083,0.11727536469697952,0.972100019454956
0.08153554797172546,0.9767000079154968,0.08113279938697815,0.9769999980926514
0.06151692941784859,0.9818000197410583,0.08296122401952744,0.9793000221252441
0.037735577672719955,0.9904999732971191,0.07531861960887909,0.9807999730110168
0.028574008494615555,0.9916999936103821,0.07862132042646408,0.9799000024795532
0.023030435666441917,0.993399977684021,0.07271894812583923,0.9812999963760376
0.030191857367753983,0.9908000230789185,0.0878339409828186,0.9782999753952026
0.02851879969239235,0.9922999739646912,0.06747261434793472,0.9832000136375427
0.016234364360570908,0.9954000115394592,0.07501167058944702,0.9824000000953674
0.01865103468298912,0.9957000017166138,0.06555730849504471,0.9840999841690063
0.010544578544795513,0.9976999759674072,0.06430895626544952,0.9842000007629395
0.013936761766672134,0.9962999820709229,0.06804265826940536,0.9836000204086304
0.008086854591965675,0.9979000091552734,0.06966777890920639,0.9840999841690063
0.027379291132092476,0.9921000003814697,0.07280128449201584,0.9829999804496765
0.013879629783332348,0.9958000183105469,0.07022515684366226,0.983299970626831
0.017169203609228134,0.9958000183105469,0.06711386889219284,0.9825000166893005
0.008421878330409527,0.9977999925613403,0.06365150213241577,0.9836999773979187
0.008640852756798267,0.9977999925613403,0.06488805264234543,0.9847000241279602
