loss,accuracy,val_loss,val_accuracy
1.063977837562561,0.7090666890144348,2.333789348602295,0.1835000067949295
0.3344966471195221,0.9003166556358337,1.1958825588226318,0.6017000079154968
0.2385554164648056,0.9280499815940857,0.5647401213645935,0.7925000190734863
0.19429893791675568,0.941266655921936,0.26340821385383606,0.9092000126838684
0.16174384951591492,0.9504333138465881,0.18730416893959045,0.9384999871253967
0.14195488393306732,0.9572166800498962,0.11872773617506027,0.9606999754905701
0.12648403644561768,0.9607999920845032,0.10900511592626572,0.9652000069618225
0.11414793878793716,0.9642833471298218,0.09773092716932297,0.9678000211715698
0.10351701080799103,0.9672666788101196,0.0866720974445343,0.9726999998092651
0.09653609991073608,0.9696999788284302,0.0788612887263298,0.9751999974250793
0.0849587544798851,0.9732666611671448,0.07946086674928665,0.9746999740600586
0.08080188930034637,0.9744166731834412,0.07300861179828644,0.9763000011444092
0.0754069834947586,0.9758333563804626,0.07109396904706955,0.9772999882698059
0.07008570432662964,0.977400004863739,0.07248961925506592,0.9769999980926514
0.06541571021080017,0.9786666631698608,0.06967253983020782,0.9790999889373779
0.06104406714439392,0.9803333282470703,0.06580936908721924,0.9786999821662903
0.05873558670282364,0.980733335018158,0.06632096320390701,0.9789999723434448
0.05482187122106552,0.9816333055496216,0.06922869384288788,0.9782000184059143
0.050767648965120316,0.9837666749954224,0.06678023934364319,0.9793999791145325
0.048959627747535706,0.984000027179718,0.06562353670597076,0.9801999926567078
