loss,accuracy,val_loss,val_accuracy
0.5100217461585999,0.8311833143234253,0.31452706456184387,0.8899999856948853
0.27174994349479675,0.9038833379745483,0.27286288142204285,0.8999999761581421
0.2165699601173401,0.9212166666984558,0.2712549567222595,0.9039000272750854
0.18300198018550873,0.9330833554267883,0.2503136396408081,0.9111999869346619
0.15354348719120026,0.9438499808311462,0.24740883708000183,0.9144999980926514
0.13000473380088806,0.9521333575248718,0.2573307156562805,0.9174000024795532
0.11377793550491333,0.9583166837692261,0.2685147225856781,0.9185000061988831
0.09577217698097229,0.9646333456039429,0.28991401195526123,0.9150000214576721
0.07983697205781937,0.9706500172615051,0.3099801540374756,0.9103000164031982
0.07299935072660446,0.9741666913032532,0.30751681327819824,0.9180999994277954
0.06112910062074661,0.9782999753952026,0.32882991433143616,0.9162999987602234
0.05329807847738266,0.9807999730110168,0.3394142985343933,0.9128000140190125
0.044407736510038376,0.9839000105857849,0.34078484773635864,0.9156000018119812
0.04296575114130974,0.9848833084106445,0.368952214717865,0.9136000275611877
0.03623337671160698,0.9874666929244995,0.38466235995292664,0.9114999771118164
0.030902264639735222,0.9891499876976013,0.3697781562805176,0.9189000129699707
0.031043319031596184,0.9891666769981384,0.3738582730293274,0.9217000007629395
0.028336718678474426,0.9904999732971191,0.37740635871887207,0.9185000061988831
0.026485396549105644,0.9907666444778442,0.40428510308265686,0.9174000024795532
0.020423151552677155,0.9931166768074036,0.4009025990962982,0.9200000166893005
